dima_code,technique_name_fr,technique_name_en,dima_family,infoverif_primary,infoverif_secondary,weight_I_p,weight_N_s,weight_F_f,semantic_features,example_keywords
TE-35,Tu quoque,Tu quoque,Discrédit,F_f,,0.2,0.0,0.8,"You too fallacy, hypocrisy accusation, deflection","toi aussi,tu fais pareil,tu es hypocrite"
TE-36,Disqualification de la source,Source dismissal,Discrédit,F_f,I_p,0.3,0.1,0.6,"Credibility attack, expertise denial, authority rejection","pas crédible,partial,incompétent,mensonge"
TE-37,Appel à l'hypocrisie,Appeal to hypocrisy,Discrédit,F_f,,0.2,0.0,0.8,"Consistency demand, past behavior citation, moral policing","mais tu as dit,tu te contredis,hypocrite"
TE-38,Ridiculisation,Ridicule,Discrédit,I_p,,0.75,0.0,0.25,"Mockery, sarcasm, contemptuous dismissal","ridicule,absurde,grotesque,n'importe quoi,pathétique"
TE-39,Démonisation,Demonization,Discrédit,I_p,N_s,0.7,0.2,0.1,"Evil attribution, malevolent intent, dehumanization","diabolique,maléfique,pervers,criminel,monstre"
TE-40,Appel au clan,In-group appeal,Discrédit,I_p,,0.7,0.1,0.2,"Tribal loyalty, us vs outsiders, group solidarity","nous,notre groupe,les nôtres,vrais X"
TE-41,Appel à l'autorité,Appeal to authority,Discrédit,I_p,F_f,0.5,0.0,0.5,"Expert citation without evidence, credential reliance","selon l'expert,les scientifiques disent,autorité affirme"
TE-42,Faux expert,Fake expert,Discrédit,F_f,I_p,0.2,0.0,0.8,"Irrelevant expertise, credential fabrication, misleading qualification","docteur en X dit sur Y,expert autoproclamé"
TE-43,Appel au peuple,Bandwagon,Discrédit,I_p,,0.7,0.0,0.3,"Majority opinion appeal, popularity argument, peer pressure","tout le monde,la plupart,tout le monde sait"
TE-44,Appel à la tradition,Appeal to tradition,Discrédit,I_p,F_f,0.5,0.0,0.5,"Historical precedent, ancestors' wisdom, conservation bias","toujours fait ainsi,tradition,nos ancêtres,depuis toujours"
TE-45,Appel à la nouveauté,Appeal to novelty,Discrédit,I_p,F_f,0.5,0.0,0.5,"Modernity argument, progress framing, innovation bias","nouveau donc mieux,moderne,récent,d'avant-garde"
TE-46,Appel à la nature,Appeal to nature,Discrédit,F_f,I_p,0.3,0.0,0.7,"Natural = good fallacy, artificial = bad, naturalistic fallacy","naturel donc bon,artificiel donc mauvais,contre-nature"
TE-47,Cherry-picking,Cherry-picking,Discrédit,F_f,,0.1,0.0,0.9,"Selective data, confirmation bias, omission of contradictory evidence","selon cette étude,un cas prouve,cet exemple montre"
TE-48,Sophisme de l'épouvantail,Straw man,Discrédit,F_f,I_p,0.3,0.0,0.7,"Argument distortion, position caricature, false representation","tu dis que,selon toi,tu prétends que"
TE-49,Homme de paille,Straw person,Discrédit,F_f,I_p,0.3,0.0,0.7,"Weak position construction, easy target, misrepresentation","ils veulent,leur position c'est,ils affirment"
TE-50,Faux consensus,False consensus,Discrédit,F_f,I_p,0.3,0.1,0.6,"Majority fabrication, universal agreement claim, dissent denial","tous pensent,consensus,unanimité,évident pour tous"
TE-51,Diversion / Hareng rouge,Red herring,Diversion,F_f,I_p,0.3,0.0,0.7,"Topic change, irrelevant introduction, attention deflection","mais parlons plutôt de,en fait le vrai problème,et X alors"
TE-52,Whataboutisme,Whataboutism,Diversion,F_f,,0.2,0.0,0.8,"Deflection by comparison, tu quoque variant, distraction","et alors X,qu'en est-il de Y,mais eux aussi"
TE-53,Relativisation,Relativization,Diversion,F_f,I_p,0.3,0.0,0.7,"Severity minimization, context shifting, comparison deflection","par rapport à,comparé à,ce n'est rien"
TE-54,Victimisation,Victimization,Diversion,I_p,,0.7,0.1,0.2,"Self-pity, persecution complex, sympathy appeal","nous sommes victimes,on nous attaque,persécutés"
TE-55,Inversion accusatoire,Accusation reversal,Diversion,F_f,I_p,0.3,0.0,0.7,"DARVO (Deny Attack Reverse Victim Offender), blame shifting","en fait c'est toi,tu es le vrai problème,c'est vous qui"
TE-56,Fausse équivalence,False equivalence,Diversion,F_f,I_p,0.2,0.0,0.8,"Inappropriate moral comparison, unequal equation","c'est la même chose,équivalent,comparable,comme"
TE-57,Fausse balance,False balance,Diversion,F_f,,0.1,0.0,0.9,"Equal weight to unequal claims, artificial neutrality","d'un côté d'autre part,les deux se valent"
TE-58,Théorie du complot,Conspiracy theory,Diversion,N_s,,0.0,0.9,0.1,"Hidden truth claims, secret cabal, grand scheme","ils ne veulent pas,vérité cachée,plan secret,complot"
TE-59,Appel au mystère,Appeal to mystery,Diversion,N_s,I_p,0.2,0.7,0.1,"Unknowability argument, hidden knowledge, esoteric claims","on ne saura jamais,mystérieux,secret,caché"
TE-60,Question rhétorique,Rhetorical question,Diversion,I_p,,0.7,0.0,0.3,"Suggestive interrogation, implied answer, persuasive questioning","qui oserait,comment peut-on,est-ce que vraiment"
TE-61,Appel à l'ignorance,Appeal to ignorance,Diversion,F_f,N_s,0.1,0.3,0.6,"Absence of proof as proof, burden shift, unfalsifiability","on n'a pas prouvé le contraire,personne ne peut prouver"
TE-62,Défiance institutionnelle,Institutional distrust,Diversion,N_s,,0.1,0.9,0.0,"Anti-establishment rhetoric, systemic corruption claims","médias mainstream,experts corrompus,système pourri"
TE-63,Appel au bon sens,Common sense appeal,Diversion,I_p,F_f,0.5,0.2,0.3,"Intuition over expertise, obviousness claim, anti-intellectualism","c'est évident,bon sens,tout le monde voit"
TE-64,Fausse dichotomie expert-peuple,Expert-people false dichotomy,Diversion,I_p,N_s,0.4,0.5,0.1,"Elite vs common man, ivory tower critique","élites déconnectées,peuple sait,vrais gens"
TE-65,Martyr / Censure,Martyr / Censorship,Diversion,I_p,N_s,0.5,0.4,0.1,"Silencing claims, persecution narrative, free speech invocation","on me censure,ils veulent me faire taire,partagez avant suppression"
TE-66,Appel à la liberté,Freedom appeal,Diversion,I_p,,0.7,0.1,0.2,"Liberty framing, autonomy rhetoric, anti-constraint","liberté,choix,autonomie,droit de,imposer"
TE-67,Fausse urgence,Fake urgency,Diversion,I_p,,0.8,0.0,0.2,"Artificial deadline, manufactured crisis, pressure timing","maintenant ou jamais,dernier moment,il sera trop tard"
TE-68,Causalité simpliste,Simplistic causality,Diversion,N_s,F_f,0.1,0.5,0.4,"Monocausal attribution, complex → simple, single culprit","à cause de X,c'est X qui,tout vient de X"
TE-69,Post hoc ergo propter hoc,Post hoc fallacy,Diversion,F_f,N_s,0.0,0.2,0.8,"Temporal succession as causation, correlation as cause","après X donc à cause de X,depuis X alors X responsable"
TE-70,Cum hoc ergo propter hoc,Correlation as causation,Diversion,F_f,,0.0,0.1,0.9,"Simultaneous events as causal, spurious correlation","X et Y donc X cause Y,lien entre X et Y"
TE-71,Affirmation infalsifiable,Unfalsifiable claim,Décontextualisation,N_s,F_f,0.0,0.7,0.3,"Immune to refutation, non-testable, tautological","on ne peut pas prouver le contraire,impossible de vérifier"
TE-72,Pétition de principe,Begging the question,Décontextualisation,F_f,,0.1,0.0,0.9,"Circular reasoning, premise includes conclusion, tautology","X parce que X,évidemment puisque,comme chacun sait"
TE-73,Tautologie,Tautology,Décontextualisation,F_f,,0.0,0.0,1.0,"Self-evident statement, redundant, non-informative","les pauvres manquent d'argent,l'eau est humide"
TE-74,Affirmation non sourcée,Unsourced claim,Décontextualisation,F_f,,0.0,0.0,1.0,"No citation, no evidence, assertion without proof","des études montrent,on sait que,il est prouvé que"
TE-75,Information hors contexte,Decontextualized information,Décontextualisation,F_f,,0.0,0.0,1.0,"Truncated quotes, missing context, selective framing","X a dit,selon Y,citation isolée"
TE-76,Citation tronquée,Truncated quote,Décontextualisation,F_f,,0.0,0.0,1.0,"Partial quote, ellipsis abuse, meaning distortion","X a dit 'fragment',X affirme '...'"
TE-77,Mauvaise traduction,Mistranslation,Décontextualisation,F_f,,0.0,0.0,1.0,"Deliberate mistranslation, nuance loss, meaning shift","en anglais X signifie,traduit par"
TE-78,Anachronisme,Anachronism,Décontextualisation,F_f,,0.0,0.1,0.9,"Historical context removal, temporal displacement, presentism","à l'époque comme maintenant,déjà en X"
TE-79,Fausse attribution,False attribution,Décontextualisation,F_f,,0.0,0.0,1.0,"Source fabrication, misattribution, fake authorship","X a dit,selon X,d'après X"
TE-80,Statistique trompeuse,Misleading statistics,Décontextualisation,F_f,,0.0,0.0,1.0,"Decontextualized numbers, cherry-picked data, scale manipulation","X% de hausse,X fois plus,augmentation de X"
TE-81,Base rate fallacy,Base rate neglect,Décontextualisation,F_f,,0.0,0.0,1.0,"Prior probability ignored, relative vs absolute, context-free stats","risque de X%,probabilité de Y"
TE-82,Pourcentage sans base,Percentage without base,Décontextualisation,F_f,,0.0,0.0,1.0,"Missing denominator, unclear reference, ambiguous proportion","X% de plus,hausse de Y%,Z% d'augmentation"
TE-83,Graphique manipulé,Manipulated graph,Décontextualisation,F_f,,0.0,0.0,1.0,"Truncated axis, scale distortion, visual deception","(visual pattern - axes, scales)"
TE-84,Amalgame,Amalgam,Décontextualisation,I_p,F_f,0.5,0.0,0.5,"Category mixing, conflation, distinction blurring","X c'est Y,confusion entre X et Y,même chose"
TE-85,Équivoque,Equivocation,Décontextualisation,F_f,,0.1,0.0,0.9,"Term ambiguity, semantic shift, meaning exploitation","X (sens 1) donc X (sens 2)"
TE-86,Homme de paille statistique,Statistical straw man,Décontextualisation,F_f,,0.0,0.0,1.0,"Weak comparison, selective baseline, cherry-picked reference","par rapport à (pire cas),comparé à (outlier)"
TE-87,Faux témoin / Anecdote,False witness / Anecdote,Décontextualisation,F_f,I_p,0.3,0.0,0.7,"Unverifiable testimony, anecdote as data, single case generalization","j'ai vu,mon cousin dit,un ami m'a raconté"
TE-88,Anecdote comme preuve,Anecdote as evidence,Décontextualisation,F_f,,0.1,0.0,0.9,"Personal experience as universal, sample size of one","ça m'est arrivé donc,j'ai connu un cas"
TE-89,Appel à l'émotion via anecdote,Emotional anecdote,Décontextualisation,I_p,F_f,0.7,0.0,0.3,"Touching story, exceptional case, emotional override of data","l'histoire de X,le cas tragique de Y"
TE-90,Fausse analogie historique,False historical analogy,Décontextualisation,F_f,I_p,0.2,0.1,0.7,"Inappropriate historical comparison, context ignorance","comme en 1933,rappelle 1940,similaire à"
TE-91,Appel à la pureté,No true Scotsman,Rhétorique,F_f,,0.2,0.0,0.8,"Retroactive redefinition, purity test, exclusion by definition","un vrai X ne ferait pas,pas un authentique Y"
TE-92,Sophisme du joueur,Gambler's fallacy,Rhétorique,F_f,,0.0,0.0,1.0,"Probability misunderstanding, streak logic, independence ignorance","après X fois alors Y,à force de"
TE-93,Corrélation illusoire,Illusory correlation,Rhétorique,F_f,N_s,0.0,0.2,0.8,"Pattern seeing in noise, apophenia, false connection","lien entre X et Y,X provoque Y,relation X-Y"
TE-94,Biais de confirmation,Confirmation bias,Rhétorique,F_f,N_s,0.0,0.3,0.7,"Selective attention, disconfirmation denial, belief maintenance","comme je le disais,ça prouve bien,j'avais raison"
TE-95,Répétition,Repetition,Rhétorique,I_p,,0.8,0.0,0.2,"Message hammering, mantra, propaganda technique","(structural - repeated phrases/slogans)"
TE-96,Novlangue / Euphémisme,Newspeak / Euphemism,Rhétorique,I_p,F_f,0.5,0.0,0.5,"Reality softening, semantic manipulation, dysphemism","dommages collatéraux,restructuration,réajustement"
TE-97,Dysphémisme,Dysphemism,Rhétorique,I_p,,0.7,0.0,0.3,"Harsh terminology, negative framing, loaded renaming","régime,dictature,occupation,envahisseurs"
TE-98,Sabir / Jargon opaque,Opaque jargon,Rhétorique,F_f,I_p,0.4,0.0,0.6,"Technical obfuscation, complexity display, intimidation","(technical terms used to confuse)"
TE-99,Insinuation,Insinuation,Rhétorique,I_p,F_f,0.6,0.1,0.3,"Implicit suggestion, innuendo, plausible deniability","on peut se demander si,certains disent que,il semblerait"
TE-100,Question suggestive,Leading question,Rhétorique,I_p,,0.6,0.0,0.4,"Embedded assumption, loaded question, false premise","avez-vous arrêté de,pourquoi continuez-vous"
TE-101,Sophisme de la solution parfaite,Nirvana fallacy,Rhétorique,F_f,I_p,0.2,0.0,0.8,"Impossible standard, perfect solution demand, good vs perfect","si ça ne résout pas tout,pas parfait donc inutile"
TE-102,Faux compromis,False compromise,Rhétorique,F_f,,0.1,0.0,0.9,"Middle ground fallacy, golden mean, truth between extremes","la vérité au milieu,ni l'un ni l'autre,compromis entre"
TE-103,Pente savonneuse inversée,Reverse slippery slope,Rhétorique,I_p,F_f,0.4,0.1,0.5,"Incremental acceptance, normalization, gradual shift","si on accepte X alors Y devient normal"
TE-104,Appel à la peur de l'inconnu,Fear of unknown,Rhétorique,I_p,N_s,0.6,0.3,0.1,"Neophobia, uncertainty exploitation, risk amplification","on ne sait pas,dangereux car inconnu,risques inconnus"
TE-105,Appel au désespoir,Appeal to despair,Rhétorique,I_p,,0.7,0.1,0.2,"Hopelessness induction, learned helplessness, resignation","rien à faire,trop tard,perdu d'avance,inutile"
TE-106,Faux prophète,False prophet,Rhétorique,N_s,I_p,0.3,0.6,0.1,"Prediction authority, oracle claims, unfalsifiable forecasts","je vous l'avais dit,comme prévu,j'annonçais que"
TE-107,Raisonnement motivé,Motivated reasoning,Rhétorique,F_f,N_s,0.0,0.3,0.7,"Conclusion-first thinking, rationalization, backfilling","c'est évident que,forcément,logiquement"
TE-108,Double standard,Double standard,Rhétorique,F_f,I_p,0.3,0.0,0.7,"Inconsistent criteria, selective application, in-group bias","pour nous c'est X pour eux c'est Y"
TE-109,Exceptionnalisme,Exceptionalism,Rhétorique,I_p,F_f,0.5,0.1,0.4,"Special case pleading, rules don't apply, unique circumstances","nous sommes différents,cas particulier,exception justifiée"
TE-110,Infantilisation,Infantilization,Rhétorique,I_p,,0.6,0.0,0.4,"Condescension, simplification, competence denial","tu ne peux pas comprendre,trop compliqué pour toi,laisse les experts"
TE-111,Paternalisme,Paternalism,Rhétorique,I_p,,0.6,0.0,0.4,"Protective condescension, your own good, autonomy denial","c'est pour ton bien,on sait mieux que toi,fais-nous confiance"
TE-112,Appel à la pitié,Appeal to pity,Rhétorique,I_p,,0.75,0.0,0.25,"Sympathy manipulation, suffering emphasis, mercy plea","ayez pitié,pensez à,pauvre,malheureusement"
TE-113,Appel à la flatterie,Appeal to flattery,Rhétorique,I_p,,0.65,0.0,0.35,"Ego stroking, intelligence compliment, superiority appeal","vous qui êtes intelligents,contrairement aux autres,vous comprenez"
TE-114,Appel à la vanité,Appeal to vanity,Rhétorique,I_p,,0.6,0.0,0.4,"Status appeal, exclusivity, elite membership","gens comme vous,élite,privilégiés,minorité éclairée"
TE-115,Appel au snobisme,Appeal to snobbery,Rhétorique,I_p,,0.5,0.0,0.5,"Class distinction, refinement, popular contempt","pas pour tout le monde,gens raffinés,masse vulgaire"
TE-116,Technique du pied dans la porte,Foot in the door,Rhétorique,I_p,,0.6,0.0,0.4,"Incremental commitment, small to large, consistency exploitation","juste une petite chose,commencez par,ensuite"
TE-117,Technique de la porte au nez,Door in the face,Rhétorique,I_p,,0.5,0.0,0.5,"Extreme then moderate, anchor high, contrast effect","ou au moins,à défaut,sinon"
TE-118,Rareté artificielle,Artificial scarcity,Rhétorique,I_p,,0.7,0.0,0.3,"Limited availability, exclusive access, FOMO","quantité limitée,seulement pour,dernière chance"
TE-119,Preuve sociale,Social proof,Rhétorique,I_p,,0.6,0.0,0.4,"Others doing it, popularity argument, herd behavior","des milliers de personnes,tout le monde,déjà X personnes"
TE-120,Appel à l'ancienneté,Appeal to antiquity,Rhétorique,F_f,I_p,0.4,0.0,0.6,"Old = good, tested by time, tradition worship","ancien donc fiable,depuis des siècles,éprouvé par le temps"
TE-121,Fausse causalité inverse,Reverse causation,Rhétorique,F_f,,0.0,0.1,0.9,"Cause-effect reversal, directionality error, chicken-egg","X cause Y alors que Y cause X"
TE-122,Variable confondante ignorée,Omitted variable,Rhétorique,F_f,,0.0,0.0,1.0,"Third factor ignored, spurious correlation, Simpson's paradox","X et Y liés (mais C les cause tous deux)"
TE-123,Extrapolation linéaire,Linear extrapolation,Rhétorique,F_f,,0.0,0.1,0.9,"Straight-line projection, no saturation, unrealistic growth","si ça continue,à ce rythme,dans X ans"
TE-124,Fausse précision,False precision,Rhétorique,F_f,,0.0,0.0,1.0,"Spurious accuracy, manufactured certainty, decimal illusion","exactement X.XX%,précisément Y,23.47%"
TE-125,Argument d'autorité divine,Divine authority,Rhétorique,I_p,N_s,0.4,0.3,0.3,"Religious invocation, sacred text, divine will","Dieu veut,texte sacré dit,volonté divine"
TE-126,Prophétie auto-réalisatrice,Self-fulfilling prophecy,Rhétorique,F_f,N_s,0.1,0.4,0.5,"Expectation effect, belief creates reality, nocebo","si vous croyez alors,en y pensant vous créez"
TE-127,Biais rétrospectif,Hindsight bias,Rhétorique,F_f,,0.0,0.1,0.9,"I knew it all along, inevitability illusion, predictability overestimation","c'était évident,je le savais,on aurait dû voir"
TE-128,Effet de halo,Halo effect,Rhétorique,I_p,F_f,0.5,0.0,0.5,"Single trait generalization, beauty = good, competence transfer","beau donc intelligent,riche donc compétent"
TE-129,Effet de l'homme providentiel,Great man theory,Rhétorique,I_p,N_s,0.5,0.3,0.2,"Savior narrative, individual over structure, heroic leadership","seul X peut nous sauver,homme providentiel,leader charismatique"
TE-130,Déshumanisation,Dehumanization,Rhétorique,I_p,,0.9,0.0,0.1,"Animal metaphors, object reduction, humanity denial","vermine,parasite,invasion,horde,masse"

